id,session_id,timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,orientation_x,orientation_y,orientation_z,battery_level,created_at,device_id
ba566fe5-a447-4d68-8095-133a12af63ca,580fe691-ef0d-400f-af9f-0080043d1575,0,0.34,0.05,0.06,-0.03,0.01,-0.01,13.62,-0.75,44.62,173.61,-172.49,100.89,37,2025-05-14 17:55:20.03926+00,1
1cf4c48d-c216-4b7e-bc7b-6452f8f17bdc,580fe691-ef0d-400f-af9f-0080043d1575,0.02,0.34,0.05,0.06,-0.03,-0.04,0,14.44,-1.75,42.06,173.61,-172.49,100.89,37,2025-05-14 17:55:20.03926+00,1
3f4e6cd5-ffc0-4756-a435-c928e406ef3e,580fe691-ef0d-400f-af9f-0080043d1575,0.04,0.34,0.05,0.06,-0.03,-0.04,0,14.12,12.56,43.62,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
e3053873-56cd-4052-8b60-be5f198b1a7d,580fe691-ef0d-400f-af9f-0080043d1575,0.06,0.34,0.05,0.06,-0.02,-0.03,-0.01,13.75,9.38,42.81,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
62adbd8a-3b38-4f9a-8b72-5f7ada8095c0,580fe691-ef0d-400f-af9f-0080043d1575,0.08,0.34,0.05,0.06,-0.01,-0.01,-0.01,14.06,7.56,44.12,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
919cfd95-4af5-4c9f-90ce-ba17089cfbfb,580fe691-ef0d-400f-af9f-0080043d1575,0.1,0.34,0.05,0.06,-0.01,0,0,14.06,-1,43.38,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
ebeda5d3-d540-4ddc-a41f-c5a4d51c22b8,580fe691-ef0d-400f-af9f-0080043d1575,0.12,0.34,0.05,0.06,0,-0.01,0.01,13.31,-1.75,45.06,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
d55aff8d-af77-4965-9820-577de2979ab2,580fe691-ef0d-400f-af9f-0080043d1575,0.14,0.34,0.05,0.06,0,-0.02,0.02,13.62,-0.75,44.62,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
f314d52e-5b99-4c20-91ab-13aa478fc208,580fe691-ef0d-400f-af9f-0080043d1575,0.16,0.34,0.05,0.06,0.01,-0.04,0.02,13.62,-1.38,45.5,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
1a5c11ca-3cc0-41b8-bffb-c2a71bb12bc7,580fe691-ef0d-400f-af9f-0080043d1575,0.18,0.23,0.02,0.22,0.01,-0.04,0.02,13,-1.38,44.19,173.61,-172.49,100.89,36,2025-05-14 17:55:20.03926+00,1
ed1d2b9d-3034-41b5-8226-5bd72b65e6fd,580fe691-ef0d-400f-af9f-0080043d1575,0.2,0.23,0.02,0.22,0.01,-0.05,0.01,13.69,-1.38,43.38,173.42,-172.76,100.91,36,2025-05-14 17:55:20.03926+00,1
